term,method,coef,se,OR,CI_low,CI_up
const,① 완전제거,-5.8542,0.5909,0.003,0.001,0.009
obesity,① 완전제거,0.3323,0.1394,1.394,1.061,1.832
age,① 완전제거,0.0694,0.0053,1.072,1.061,1.083
male,① 완전제거,-0.2253,0.1425,0.798,0.604,1.055
smk_cur,① 완전제거,0.136,0.1746,1.146,0.814,1.613
income,① 완전제거,0.0714,0.0599,1.074,0.955,1.208
chol,① 완전제거,0.0014,0.0022,1.001,0.997,1.006
glucose,① 완전제거,-0.0007,0.0042,0.999,0.991,1.008
const,② 평균대치,-6.2867,0.4781,0.002,0.001,0.005
obesity,② 평균대치,0.2794,0.111,1.322,1.064,1.644
age,② 평균대치,0.0742,0.0041,1.077,1.068,1.086
male,② 평균대치,-0.1512,0.1125,0.86,0.689,1.072
smk_cur,② 평균대치,0.2339,0.1308,1.264,0.978,1.633
income,② 평균대치,0.0287,0.0486,1.029,0.936,1.132
chol,② 평균대치,0.0006,0.0018,1.001,0.997,1.004
glucose,② 평균대치,0.0034,0.0033,1.003,0.997,1.01
const,③ 다중대치,-6.1873,0.4688,0.002,0.001,0.005
obesity,③ 다중대치,0.2885,0.1166,1.334,1.062,1.677
age,③ 다중대치,0.0741,0.0041,1.077,1.068,1.086
male,③ 다중대치,-0.1677,0.1108,0.846,0.681,1.051
smk_cur,③ 다중대치,0.23,0.1314,1.259,0.973,1.628
income,③ 다중대치,0.0228,0.0495,1.023,0.928,1.127
chol,③ 다중대치,0.0004,0.0018,1.0,0.997,1.004
glucose,③ 다중대치,0.0029,0.0033,1.003,0.996,1.009
